timestamp,station_id,station_name,latitude,longitude,pm2_5,pm10,no2,so2,co,o3,nh3,aqi,aqi_category,primary_pollutant,data_source,data_quality
2026-08-25 10:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,96.2,193.4,66.6,21.1,2.31,25.2,35.9,221,Poor,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,78.3,158.4,55.0,10.0,1.83,35.0,21.4,161,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,75.2,154.3,49.9,10.8,1.64,39.4,21.7,151,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,46.4,92.0,34.6,6.8,1.04,39.0,15.3,92,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,46.7,92.9,33.4,6.6,1.09,49.5,15.4,93,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,89.1,174.7,65.5,13.5,2.27,30.5,27.0,197,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,47.1,93.6,32.4,6.6,1.0,40.8,15.7,94,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,76.5,151.7,53.3,9.8,1.8,29.9,21.4,155,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,44.2,86.3,30.9,6.0,0.98,54.4,14.2,87,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,44.8,88.2,31.1,5.8,1.0,42.9,14.5,88,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,61.7,122.8,41.4,8.3,1.3,36.6,17.5,116,Moderate,PM10,DEMO,SIMULATED
2026-08-25 10:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,72.4,145.3,50.9,10.1,1.66,30.6,20.2,142,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,87.4,166.1,57.2,12.3,1.98,38.3,25.8,191,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,55.3,109.8,37.9,8.6,1.18,44.0,19.9,107,Moderate,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,97.3,195.6,67.3,23.8,2.33,32.2,40.3,225,Poor,PM2.5,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,72.3,146.4,50.8,10.3,1.69,40.8,22.0,142,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,64.2,131.6,42.5,10.3,1.4,42.5,20.5,122,Moderate,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,50.7,100.6,37.7,8.2,1.14,53.8,18.6,101,Moderate,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,38.6,76.8,27.7,6.0,0.9,51.7,14.1,77,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,77.9,152.7,57.3,13.1,1.99,33.7,26.3,160,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,46.6,92.7,32.1,7.2,0.99,51.0,17.3,93,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,75.7,150.0,52.7,10.7,1.78,37.4,23.5,153,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,39.1,76.2,27.3,5.9,0.87,60.8,13.9,77,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,42.3,83.3,29.4,6.1,0.94,51.2,15.2,84,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,62.9,125.2,42.2,9.4,1.33,47.2,19.8,118,Moderate,PM10,DEMO,SIMULATED
2026-08-25 11:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,64.4,129.3,45.2,10.0,1.47,34.4,20.0,120,Moderate,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,70.7,134.2,46.2,10.9,1.6,39.9,22.8,136,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,47.4,94.2,32.5,8.0,1.01,48.7,18.7,94,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,76.7,154.3,53.1,20.5,1.84,32.8,34.8,156,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,59.8,121.1,42.1,9.3,1.4,43.6,19.9,115,Moderate,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,53.6,109.9,35.5,9.4,1.17,45.8,18.8,108,Moderate,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,40.5,80.2,30.1,7.2,0.91,55.4,16.2,81,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,37.2,73.9,26.6,6.4,0.87,64.2,14.9,74,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,68.5,134.4,50.4,12.6,1.75,38.3,25.3,129,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,38.9,77.4,26.8,6.6,0.82,55.0,15.8,78,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,63.7,126.2,44.3,9.9,1.49,40.6,21.7,118,Moderate,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,31.8,62.0,22.2,5.2,0.71,63.7,12.4,64,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,41.4,81.5,28.8,6.5,0.92,64.6,16.3,82,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,56.9,113.2,38.1,9.3,1.2,55.1,19.6,110,Moderate,PM10,DEMO,SIMULATED
2026-08-25 12:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,66.2,132.8,46.5,11.2,1.51,45.5,22.5,123,Moderate,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,66.9,127.2,43.8,10.7,1.52,45.3,22.5,124,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,49.6,98.6,34.1,8.8,1.06,61.0,20.4,99,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,74.9,150.6,51.8,20.9,1.8,38.3,35.4,150,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,59.2,119.7,41.6,9.6,1.39,51.6,20.5,114,Moderate,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,61.3,125.8,40.6,11.2,1.34,62.7,22.4,118,Moderate,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,41.8,82.8,31.1,7.7,0.94,68.4,17.5,83,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,35.1,69.8,25.1,6.3,0.82,72.6,14.7,73,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,70.0,137.4,51.5,13.5,1.79,46.9,27.0,134,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,41.0,81.4,28.2,7.3,0.87,69.3,17.3,82,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,68.4,135.5,47.6,11.1,1.61,52.2,24.3,129,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,30.2,58.9,21.1,5.2,0.67,72.6,12.3,73,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,33.1,65.2,23.0,5.4,0.74,61.9,13.6,66,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,51.0,101.5,34.2,8.7,1.07,59.1,18.3,102,Moderate,PM10,DEMO,SIMULATED
2026-08-25 13:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,59.2,118.8,41.6,10.5,1.35,48.8,21.0,113,Moderate,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,66.7,126.7,43.6,10.8,1.51,48.2,22.7,123,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,51.1,101.5,35.0,9.1,1.09,67.0,21.2,102,Moderate,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,85.4,171.6,59.1,24.1,2.05,46.6,40.9,185,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,57.7,116.8,40.5,9.4,1.35,53.7,20.2,112,Moderate,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,56.9,116.7,37.7,10.5,1.24,62.2,21.0,112,Moderate,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,39.3,77.9,29.3,7.3,0.88,68.7,16.6,78,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,37.1,73.9,26.6,6.7,0.87,82.1,15.7,82,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,66.2,129.8,48.7,12.9,1.69,47.3,25.8,121,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,36.1,71.8,24.8,6.5,0.76,65.2,15.4,72,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,60.8,120.5,42.4,10.0,1.43,49.6,21.8,115,Moderate,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,32.0,62.3,22.3,5.6,0.71,82.0,13.2,82,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,34.4,67.7,23.9,5.7,0.76,68.6,14.3,69,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,53.2,106.0,35.7,9.2,1.12,65.9,19.3,105,Moderate,PM10,DEMO,SIMULATED
2026-08-25 14:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,66.2,133.0,46.5,11.9,1.52,58.3,23.8,123,Moderate,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,69.3,131.7,45.3,11.3,1.57,47.5,23.6,132,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,44.2,87.9,30.3,7.9,0.95,55.1,18.4,88,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,87.2,175.3,60.3,24.6,2.09,45.2,41.8,191,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,60.0,121.4,42.1,9.8,1.4,53.0,21.0,115,Moderate,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,50.6,103.8,33.6,9.4,1.1,52.5,18.7,104,Moderate,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,36.5,72.3,27.1,6.8,0.82,60.5,15.5,73,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,31.6,62.8,22.6,5.7,0.74,66.2,13.4,67,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,68.4,134.1,50.3,13.3,1.75,46.4,26.7,129,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,40.1,79.6,27.6,7.2,0.85,68.6,17.1,80,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,63.0,124.8,43.9,10.3,1.48,48.7,22.6,117,Moderate,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,28.8,56.1,20.1,5.0,0.64,70.1,11.9,71,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,35.2,69.3,24.4,5.9,0.78,66.6,14.6,70,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,57.5,114.4,38.5,9.9,1.21,67.5,20.9,111,Moderate,PM10,DEMO,SIMULATED
2026-08-25 15:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,61.6,123.7,43.3,11.1,1.41,51.5,22.1,117,Moderate,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,77.8,147.9,50.9,12.6,1.76,46.2,26.4,160,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,50.5,100.4,34.7,9.0,1.08,54.5,20.9,101,Moderate,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,72.0,144.7,49.8,20.2,1.73,32.3,34.3,141,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,62.8,127.2,44.2,10.2,1.47,48.1,21.9,119,Moderate,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,57.5,117.9,38.1,10.6,1.25,51.6,21.1,113,Moderate,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,40.6,80.5,30.2,7.6,0.91,58.4,17.1,81,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,32.8,65.3,23.5,5.9,0.77,59.6,13.8,66,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,69.0,135.2,50.7,13.4,1.76,40.5,26.7,131,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,35.1,69.8,24.1,6.3,0.74,52.1,14.9,70,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,63.5,125.9,44.2,10.4,1.49,42.5,22.7,118,Moderate,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,31.4,61.3,21.9,5.4,0.7,66.2,12.9,67,Satisfactory,O3,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,39.5,77.8,27.5,6.5,0.88,64.8,16.4,78,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,56.5,112.5,37.9,9.7,1.19,57.5,20.4,109,Moderate,PM10,DEMO,SIMULATED
2026-08-25 16:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,58.7,117.9,41.3,10.5,1.34,42.4,21.0,113,Moderate,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,72.9,138.4,47.7,11.5,1.65,35.8,24.1,144,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,45.2,89.7,31.0,7.9,0.96,40.3,18.2,90,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,88.4,177.8,61.2,24.2,2.12,32.9,41.1,195,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,66.2,134.0,46.5,10.5,1.55,41.9,22.6,123,Moderate,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,54.5,111.8,36.1,9.8,1.19,40.5,19.6,109,Moderate,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,42.5,84.1,31.6,7.7,0.95,50.5,17.5,84,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,36.0,71.7,25.8,6.3,0.84,54.2,14.8,72,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,63.9,125.3,47.0,12.1,1.63,31.1,24.2,118,Moderate,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,41.0,81.5,28.2,7.2,0.87,50.4,17.1,82,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,66.4,131.6,46.3,10.6,1.56,36.8,23.2,122,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,34.3,66.9,24.0,5.8,0.76,59.8,13.7,68,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,37.4,73.5,25.9,6.0,0.83,50.7,15.1,74,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,48.5,96.5,32.5,8.1,1.02,40.8,17.1,97,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 17:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,60.9,122.2,42.8,10.6,1.39,36.5,21.2,116,Moderate,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,70.3,133.5,46.0,10.4,1.59,28.4,21.8,135,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,55.9,111.1,38.4,9.1,1.19,41.2,21.2,108,Moderate,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST03,Peenya Industrial Area,13.0285,77.5197,93.8,188.5,64.9,24.1,2.25,28.7,40.9,214,Poor,PM2.5,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST04,Hebbal CAAQMS,13.0358,77.597,70.1,141.9,49.3,10.5,1.64,36.6,22.4,134,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,58.3,119.5,38.6,9.8,1.27,35.7,19.6,114,Moderate,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,40.2,79.6,29.9,6.8,0.9,39.4,15.5,80,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,40.5,80.5,29.0,6.7,0.95,50.2,15.6,81,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,79.8,156.6,58.7,14.2,2.04,32.0,28.3,166,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,38.1,75.8,26.2,6.2,0.81,38.6,14.9,76,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,70.1,139.0,48.8,10.5,1.65,32.0,22.9,134,Moderate,PM2.5,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,31.7,61.8,22.1,5.0,0.7,45.6,11.9,63,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST12,Yelahanka New Town,13.1007,77.5963,41.7,82.1,28.9,6.3,0.93,46.6,15.8,82,Satisfactory,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST13,Electronic City Phase 1,12.8452,77.6602,60.5,120.5,40.6,9.5,1.27,42.0,20.0,115,Moderate,PM10,DEMO,SIMULATED
2026-08-25 18:00:00,BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,62.3,125.1,43.8,10.2,1.43,30.8,20.4,118,Moderate,PM10,DEMO,SIMULATED
2026-08-25 19:00:00,BLR_ST01,Silk Board Junction,12.9176,77.6238,86.5,164.4,56.6,11.4,1.96,29.3,24.0,188,Moderate,PM2.5,DEMO,SIMULATED
