month,station_id,station_name,season,monthly_mean_aqi,monthly_mean_pm25,monthly_mean_pm10,good_days,moderate_days,unhealthy_days,aqi_category,primary_pollutant,data_source,data_quality
2023-08,BLR_ST05,Whitefield Export Promotion Industrial Park,Monsoon,76,39.2,75.0,24,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST06,Indiranagar 100ft Road,Monsoon,60,32.2,58.8,23,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST07,Jayanagar 4th Block,Monsoon,49,24.2,48.8,27,16,0,Good,PM10,DEMO,SIMULATED
2023-08,BLR_ST08,City Railway Station / Majestic,Monsoon,98,46.6,98.2,22,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Monsoon,55,26.8,53.9,23,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Monsoon,84,48.6,83.8,22,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Monsoon,47,23.5,46.9,27,15,0,Good,PM10,DEMO,SIMULATED
2023-08,BLR_ST12,Yelahanka New Town,Monsoon,54,26.0,53.5,25,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST13,Electronic City Phase 1,Monsoon,78,40.0,77.7,24,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-08,BLR_ST14,Mysore Road / Nayandahalli,Monsoon,85,45.7,84.9,20,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST01,Silk Board Junction,Monsoon,98,49.8,98.1,22,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST02,BTM Layout CAAQMS,Monsoon,62,34.0,61.6,21,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST03,Peenya Industrial Area,Monsoon,111,60.1,114.9,19,17,0,Moderate,PM10,DEMO,SIMULATED
2023-09,BLR_ST04,Hebbal CAAQMS,Monsoon,91,43.0,91.3,21,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST05,Whitefield Export Promotion Industrial Park,Monsoon,81,39.0,80.3,23,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST06,Indiranagar 100ft Road,Monsoon,58,29.1,57.4,26,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST07,Jayanagar 4th Block,Monsoon,54,26.3,52.8,25,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST08,City Railway Station / Majestic,Monsoon,95,47.9,94.8,22,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Monsoon,56,27.1,54.6,25,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Monsoon,92,52.1,92.3,21,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Monsoon,47,22.4,46.8,23,17,0,Good,PM10,DEMO,SIMULATED
2023-09,BLR_ST12,Yelahanka New Town,Monsoon,54,26.0,53.3,23,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST13,Electronic City Phase 1,Monsoon,74,37.6,73.6,22,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-09,BLR_ST14,Mysore Road / Nayandahalli,Monsoon,91,46.6,91.2,18,13,0,Satisfactory,PM10,DEMO,SIMULATED
2023-10,BLR_ST01,Silk Board Junction,Post-Monsoon,209,92.5,174.1,7,18,5,Poor,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST02,BTM Layout CAAQMS,Post-Monsoon,118,58.9,126.1,19,12,0,Moderate,PM10,DEMO,SIMULATED
2023-10,BLR_ST03,Peenya Industrial Area,Post-Monsoon,228,98.2,193.2,5,16,9,Poor,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST04,Hebbal CAAQMS,Post-Monsoon,147,73.8,150.8,16,16,0,Moderate,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST05,Whitefield Export Promotion Industrial Park,Post-Monsoon,151,75.3,138.5,16,12,2,Moderate,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST06,Indiranagar 100ft Road,Post-Monsoon,105,57.2,106.0,20,15,0,Moderate,PM10,DEMO,SIMULATED
2023-10,BLR_ST07,Jayanagar 4th Block,Post-Monsoon,91,42.0,91.2,22,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-10,BLR_ST08,City Railway Station / Majestic,Post-Monsoon,182,84.5,173.4,13,16,1,Moderate,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Post-Monsoon,97,52.0,97.2,18,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-10,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Post-Monsoon,172,81.6,147.9,11,12,7,Moderate,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Post-Monsoon,82,45.3,81.5,21,17,0,Satisfactory,PM10,DEMO,SIMULATED
2023-10,BLR_ST12,Yelahanka New Town,Post-Monsoon,91,47.2,91.2,22,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-10,BLR_ST13,Electronic City Phase 1,Post-Monsoon,141,72.2,122.9,13,16,1,Moderate,PM2.5,DEMO,SIMULATED
2023-10,BLR_ST14,Mysore Road / Nayandahalli,Post-Monsoon,163,78.8,164.2,15,14,1,Moderate,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST01,Silk Board Junction,Post-Monsoon,207,91.9,179.0,8,16,6,Poor,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST02,BTM Layout CAAQMS,Post-Monsoon,124,67.0,117.2,18,16,0,Moderate,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST03,Peenya Industrial Area,Post-Monsoon,225,97.2,191.7,9,12,9,Poor,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST04,Hebbal CAAQMS,Post-Monsoon,168,80.4,153.7,13,12,5,Moderate,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST05,Whitefield Export Promotion Industrial Park,Post-Monsoon,157,77.0,153.9,16,18,0,Moderate,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST06,Indiranagar 100ft Road,Post-Monsoon,97,55.9,96.8,21,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-11,BLR_ST07,Jayanagar 4th Block,Post-Monsoon,90,46.1,90.1,21,18,0,Satisfactory,PM10,DEMO,SIMULATED
2023-11,BLR_ST08,City Railway Station / Majestic,Post-Monsoon,194,88.2,164.8,12,18,0,Moderate,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Post-Monsoon,90,46.6,89.5,19,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-11,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Post-Monsoon,190,87.0,173.5,10,18,2,Moderate,PM2.5,DEMO,SIMULATED
2023-11,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Post-Monsoon,84,40.8,83.7,23,16,0,Satisfactory,PM10,DEMO,SIMULATED
2023-11,BLR_ST12,Yelahanka New Town,Post-Monsoon,95,44.2,94.8,19,14,0,Satisfactory,PM10,DEMO,SIMULATED
2023-11,BLR_ST13,Electronic City Phase 1,Post-Monsoon,125,65.1,135.7,17,12,1,Moderate,PM10,DEMO,SIMULATED
2023-11,BLR_ST14,Mysore Road / Nayandahalli,Post-Monsoon,175,82.3,148.0,12,14,4,Moderate,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST01,Silk Board Junction,Winter,238,101.2,194.0,5,17,8,Poor,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST02,BTM Layout CAAQMS,Winter,142,72.3,141.6,16,17,0,Moderate,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST03,Peenya Industrial Area,Winter,277,113.1,236.0,2,13,15,Poor,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST04,Hebbal CAAQMS,Winter,186,85.8,182.1,13,14,3,Moderate,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST05,Whitefield Export Promotion Industrial Park,Winter,161,78.1,151.2,11,17,2,Moderate,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST06,Indiranagar 100ft Road,Winter,116,64.5,113.3,16,18,0,Moderate,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST07,Jayanagar 4th Block,Winter,104,54.2,104.3,20,14,0,Moderate,PM10,DEMO,SIMULATED
2023-12,BLR_ST08,City Railway Station / Majestic,Winter,240,101.8,186.3,7,18,5,Poor,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Winter,102,54.7,101.9,21,14,0,Moderate,PM10,DEMO,SIMULATED
2023-12,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Winter,215,94.3,188.1,7,12,11,Poor,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Winter,87,47.4,86.7,23,12,0,Satisfactory,PM10,DEMO,SIMULATED
2023-12,BLR_ST12,Yelahanka New Town,Winter,100,54.0,99.5,19,15,0,Satisfactory,PM10,DEMO,SIMULATED
2023-12,BLR_ST13,Electronic City Phase 1,Winter,181,84.3,153.2,12,14,4,Moderate,PM2.5,DEMO,SIMULATED
2023-12,BLR_ST14,Mysore Road / Nayandahalli,Winter,216,94.6,161.8,7,15,8,Poor,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST01,Silk Board Junction,Winter,258,107.3,186.3,6,18,6,Poor,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST02,BTM Layout CAAQMS,Winter,126,67.5,133.9,16,14,0,Moderate,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST03,Peenya Industrial Area,Winter,294,118.3,231.6,1,13,16,Poor,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST04,Hebbal CAAQMS,Winter,199,89.6,164.8,10,14,6,Moderate,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST05,Whitefield Export Promotion Industrial Park,Winter,191,87.3,155.6,9,16,5,Moderate,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST06,Indiranagar 100ft Road,Winter,111,56.5,114.8,17,18,0,Moderate,PM10,DEMO,SIMULATED
2024-01,BLR_ST07,Jayanagar 4th Block,Winter,94,48.0,93.6,19,16,0,Satisfactory,PM10,DEMO,SIMULATED
2024-01,BLR_ST08,City Railway Station / Majestic,Winter,230,98.8,183.0,5,18,7,Poor,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Winter,104,60.9,101.3,17,13,0,Moderate,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Winter,216,94.6,170.3,10,16,4,Poor,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Winter,92,48.9,91.8,20,14,0,Satisfactory,PM10,DEMO,SIMULATED
2024-01,BLR_ST12,Yelahanka New Town,Winter,103,54.5,102.3,20,12,0,Moderate,PM10,DEMO,SIMULATED
2024-01,BLR_ST13,Electronic City Phase 1,Winter,169,80.7,138.0,13,15,2,Moderate,PM2.5,DEMO,SIMULATED
2024-01,BLR_ST14,Mysore Road / Nayandahalli,Winter,223,96.8,164.2,7,14,9,Poor,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST01,Silk Board Junction,Winter,246,103.6,193.6,5,14,11,Poor,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST02,BTM Layout CAAQMS,Winter,117,64.8,124.8,20,13,0,Moderate,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST03,Peenya Industrial Area,Winter,301,120.3,232.9,1,13,16,Very Poor,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST04,Hebbal CAAQMS,Winter,222,96.5,166.8,7,17,6,Poor,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST05,Whitefield Export Promotion Industrial Park,Winter,176,82.8,168.4,13,12,5,Moderate,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST06,Indiranagar 100ft Road,Winter,107,58.9,109.5,18,18,0,Moderate,PM10,DEMO,SIMULATED
2024-02,BLR_ST07,Jayanagar 4th Block,Winter,102,48.6,102.0,19,15,0,Moderate,PM10,DEMO,SIMULATED
2024-02,BLR_ST08,City Railway Station / Majestic,Winter,241,102.0,188.7,3,12,15,Poor,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),Winter,103,53.6,102.7,19,17,0,Moderate,PM10,DEMO,SIMULATED
2024-02,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),Winter,210,92.7,174.2,10,14,6,Poor,PM2.5,DEMO,SIMULATED
2024-02,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),Winter,92,50.2,91.7,20,17,0,Satisfactory,PM10,DEMO,SIMULATED
