date,station_id,station_name,daily_mean_aqi,daily_max_aqi,daily_min_aqi,daily_mean_pm25,daily_max_pm25,daily_min_pm25,daily_mean_pm10,aqi_category,primary_pollutant,data_source,data_quality
2026-06-03,BLR_ST13,Electronic City Phase 1,109,147,76,58.8,85.3,38.2,111.5,Moderate,PM10,DEMO,SIMULATED
2026-06-03,BLR_ST14,Mysore Road / Nayandahalli,119,161,83,65.6,95.1,42.6,125.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-04,BLR_ST01,Silk Board Junction,171,231,120,81.3,117.9,52.8,147.0,Moderate,PM2.5,DEMO,SIMULATED
2026-06-04,BLR_ST02,BTM Layout CAAQMS,90,122,63,47.7,69.2,31.0,90.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST03,Peenya Industrial Area,208,281,146,92.1,133.5,59.9,176.3,Poor,PM2.5,DEMO,SIMULATED
2026-06-04,BLR_ST04,Hebbal CAAQMS,135,182,94,70.4,102.1,45.8,135.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-04,BLR_ST05,Whitefield Export Promotion Industrial Park,105,142,74,54.1,78.4,35.2,105.5,Moderate,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST06,Indiranagar 100ft Road,76,103,53,39.7,57.6,25.8,75.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST07,Jayanagar 4th Block,78,105,55,40.8,59.2,26.5,77.4,Satisfactory,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST08,City Railway Station / Majestic,126,170,88,67.5,97.9,43.9,126.1,Moderate,PM2.5,DEMO,SIMULATED
2026-06-04,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),76,103,53,39.7,57.6,25.8,75.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),132,178,92,69.3,100.5,45.0,130.9,Moderate,PM2.5,DEMO,SIMULATED
2026-06-04,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),61,82,43,32.6,47.3,21.2,60.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST12,Yelahanka New Town,81,109,57,42.9,62.2,27.9,80.4,Satisfactory,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST13,Electronic City Phase 1,107,144,75,57.6,83.5,37.4,109.3,Moderate,PM10,DEMO,SIMULATED
2026-06-04,BLR_ST14,Mysore Road / Nayandahalli,132,178,92,69.3,100.5,45.0,132.6,Moderate,PM2.5,DEMO,SIMULATED
2026-06-05,BLR_ST01,Silk Board Junction,163,220,114,78.9,114.4,51.3,142.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-05,BLR_ST02,BTM Layout CAAQMS,99,134,69,52.4,76.0,34.1,99.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST03,Peenya Industrial Area,194,262,136,88.2,127.9,57.3,168.9,Moderate,PM2.5,DEMO,SIMULATED
2026-06-05,BLR_ST04,Hebbal CAAQMS,115,155,80,62.8,91.1,40.8,121.1,Moderate,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST05,Whitefield Export Promotion Industrial Park,119,161,83,65.1,94.4,42.3,127.1,Moderate,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST06,Indiranagar 100ft Road,85,115,59,44.9,65.1,29.2,84.8,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST07,Jayanagar 4th Block,76,103,53,40.1,58.1,26.1,76.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST08,City Railway Station / Majestic,155,209,108,76.3,110.6,49.6,142.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-05,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),75,101,52,39.2,56.8,25.5,74.3,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),139,188,97,71.6,103.8,46.5,135.2,Moderate,PM2.5,DEMO,SIMULATED
2026-06-05,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),58,78,41,30.9,44.8,20.1,57.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST12,Yelahanka New Town,68,92,48,35.8,51.9,23.3,67.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST13,Electronic City Phase 1,98,132,69,51.7,75.0,33.6,98.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-05,BLR_ST14,Mysore Road / Nayandahalli,115,155,80,63.7,92.4,41.4,121.7,Moderate,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST01,Silk Board Junction,137,185,96,70.9,102.8,46.1,128.2,Moderate,PM2.5,DEMO,SIMULATED
2026-06-06,BLR_ST02,BTM Layout CAAQMS,101,136,71,53.2,77.1,34.6,100.7,Moderate,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST03,Peenya Industrial Area,187,252,131,86.2,125.0,56.0,165.1,Moderate,PM2.5,DEMO,SIMULATED
2026-06-06,BLR_ST04,Hebbal CAAQMS,116,157,81,63.6,92.2,41.3,122.7,Moderate,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST05,Whitefield Export Promotion Industrial Park,105,142,74,54.6,79.2,35.5,106.7,Moderate,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST06,Indiranagar 100ft Road,80,108,56,42.3,61.3,27.5,79.8,Satisfactory,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST07,Jayanagar 4th Block,66,89,46,34.3,49.7,22.3,65.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST08,City Railway Station / Majestic,150,202,105,74.7,108.3,48.6,139.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-06,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),82,111,57,43.0,62.4,27.9,81.3,Satisfactory,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),140,189,98,71.8,104.1,46.7,135.6,Moderate,PM2.5,DEMO,SIMULATED
2026-06-06,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),72,97,50,38.3,55.5,24.9,71.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST12,Yelahanka New Town,75,101,52,39.6,57.4,25.7,74.3,Satisfactory,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST13,Electronic City Phase 1,106,143,74,56.6,82.1,36.8,107.3,Moderate,PM10,DEMO,SIMULATED
2026-06-06,BLR_ST14,Mysore Road / Nayandahalli,112,151,78,60.7,88.0,39.5,116.1,Moderate,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST01,Silk Board Junction,144,194,101,73.0,105.8,47.5,132.0,Moderate,PM2.5,DEMO,SIMULATED
2026-06-07,BLR_ST02,BTM Layout CAAQMS,95,128,66,50.0,72.5,32.5,94.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST03,Peenya Industrial Area,155,209,108,76.4,110.8,49.7,146.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-07,BLR_ST04,Hebbal CAAQMS,114,154,80,62.4,90.5,40.6,120.3,Moderate,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST05,Whitefield Export Promotion Industrial Park,103,139,72,52.5,76.1,34.1,102.6,Moderate,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST06,Indiranagar 100ft Road,75,101,52,39.5,57.3,25.7,74.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST07,Jayanagar 4th Block,76,103,53,39.8,57.7,25.9,75.3,Satisfactory,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST08,City Railway Station / Majestic,167,225,117,80.0,116.0,52.0,149.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-07,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),78,105,55,40.9,59.3,26.6,77.4,Satisfactory,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),131,177,92,69.0,100.0,44.9,130.2,Moderate,PM2.5,DEMO,SIMULATED
2026-06-07,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),67,90,47,35.6,51.6,23.1,66.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST12,Yelahanka New Town,72,97,50,38.1,55.2,24.8,71.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST13,Electronic City Phase 1,111,150,78,61.0,88.5,39.6,115.7,Moderate,PM10,DEMO,SIMULATED
2026-06-07,BLR_ST14,Mysore Road / Nayandahalli,121,163,85,66.0,95.7,42.9,126.1,Moderate,PM2.5,DEMO,SIMULATED
2026-06-08,BLR_ST01,Silk Board Junction,129,174,90,68.4,99.2,44.5,123.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-08,BLR_ST02,BTM Layout CAAQMS,85,115,59,44.7,64.8,29.1,84.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST03,Peenya Industrial Area,203,274,142,90.5,131.2,58.8,173.3,Poor,PM2.5,DEMO,SIMULATED
2026-06-08,BLR_ST04,Hebbal CAAQMS,113,153,79,61.1,88.6,39.7,117.7,Moderate,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST05,Whitefield Export Promotion Industrial Park,107,144,75,56.0,81.2,36.4,109.4,Moderate,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST06,Indiranagar 100ft Road,82,111,57,43.5,63.1,28.3,82.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST07,Jayanagar 4th Block,65,88,46,33.9,49.2,22.0,64.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST08,City Railway Station / Majestic,137,185,96,70.9,102.8,46.1,132.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-08,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),82,111,57,43.0,62.4,27.9,81.4,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),144,194,101,73.1,106.0,47.5,138.0,Moderate,PM2.5,DEMO,SIMULATED
2026-06-08,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),64,86,45,34.3,49.7,22.3,63.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST12,Yelahanka New Town,67,90,47,35.1,50.9,22.8,65.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST13,Electronic City Phase 1,97,131,68,50.9,73.8,33.1,96.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-08,BLR_ST14,Mysore Road / Nayandahalli,135,182,94,70.2,101.8,45.6,134.2,Moderate,PM2.5,DEMO,SIMULATED
2026-06-09,BLR_ST01,Silk Board Junction,172,232,120,81.5,118.2,53.0,147.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-09,BLR_ST02,BTM Layout CAAQMS,92,124,64,48.5,70.3,31.5,91.8,Satisfactory,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST03,Peenya Industrial Area,205,277,144,91.3,132.4,59.3,174.9,Poor,PM2.5,DEMO,SIMULATED
2026-06-09,BLR_ST04,Hebbal CAAQMS,107,144,75,56.9,82.5,37.0,109.7,Moderate,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST05,Whitefield Export Promotion Industrial Park,115,155,80,62.1,90.0,40.4,121.2,Moderate,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST06,Indiranagar 100ft Road,82,111,57,43.3,62.8,28.1,81.8,Satisfactory,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST07,Jayanagar 4th Block,78,105,55,40.9,59.3,26.6,77.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST08,City Railway Station / Majestic,116,157,81,64.5,93.5,41.9,120.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-09,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),83,112,58,43.7,63.4,28.4,82.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),142,192,99,72.5,105.1,47.1,136.9,Moderate,PM2.5,DEMO,SIMULATED
2026-06-09,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),60,81,42,32.1,46.5,20.9,59.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST12,Yelahanka New Town,81,109,57,43.2,62.6,28.1,80.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST13,Electronic City Phase 1,104,140,73,55.2,80.0,35.9,104.7,Moderate,PM10,DEMO,SIMULATED
2026-06-09,BLR_ST14,Mysore Road / Nayandahalli,115,155,80,63.1,91.5,41.0,120.7,Moderate,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST01,Silk Board Junction,170,230,119,81.0,117.5,52.6,146.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-10,BLR_ST02,BTM Layout CAAQMS,93,126,65,49.1,71.2,31.9,92.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST03,Peenya Industrial Area,215,290,150,94.3,136.7,61.3,180.7,Poor,PM2.5,DEMO,SIMULATED
2026-06-10,BLR_ST04,Hebbal CAAQMS,127,171,89,67.9,98.5,44.1,130.8,Moderate,PM2.5,DEMO,SIMULATED
2026-06-10,BLR_ST05,Whitefield Export Promotion Industrial Park,106,143,74,55.0,79.8,35.8,107.3,Moderate,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST06,Indiranagar 100ft Road,87,117,61,45.8,66.4,29.8,86.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST07,Jayanagar 4th Block,71,96,50,37.2,53.9,24.2,70.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST08,City Railway Station / Majestic,129,174,90,68.4,99.2,44.5,127.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-10,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),80,108,56,42.3,61.3,27.5,80.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),135,182,94,70.2,101.8,45.6,132.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-10,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),58,78,41,30.9,44.8,20.1,57.3,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST12,Yelahanka New Town,66,89,46,35.0,50.8,22.8,65.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST13,Electronic City Phase 1,98,132,69,51.7,75.0,33.6,98.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-10,BLR_ST14,Mysore Road / Nayandahalli,111,150,78,60.6,87.9,39.4,115.8,Moderate,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST01,Silk Board Junction,124,167,87,66.9,97.0,43.5,121.1,Moderate,PM2.5,DEMO,SIMULATED
2026-06-11,BLR_ST02,BTM Layout CAAQMS,91,123,64,47.8,69.3,31.1,90.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST03,Peenya Industrial Area,165,223,115,79.5,115.3,51.7,152.3,Moderate,PM2.5,DEMO,SIMULATED
2026-06-11,BLR_ST04,Hebbal CAAQMS,116,157,81,63.9,92.7,41.5,123.2,Moderate,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST05,Whitefield Export Promotion Industrial Park,107,144,75,55.9,81.1,36.3,109.1,Moderate,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST06,Indiranagar 100ft Road,84,113,59,44.5,64.5,28.9,84.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST07,Jayanagar 4th Block,66,89,46,34.4,49.9,22.4,65.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST08,City Railway Station / Majestic,123,166,86,66.6,96.6,43.3,124.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-11,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),83,112,58,43.5,63.1,28.3,82.3,Satisfactory,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),152,205,106,75.6,109.6,49.1,142.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-11,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),65,88,46,34.8,50.5,22.6,64.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST12,Yelahanka New Town,65,88,46,34.4,49.9,22.4,64.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST13,Electronic City Phase 1,112,151,78,61.5,89.2,40.0,116.6,Moderate,PM10,DEMO,SIMULATED
2026-06-11,BLR_ST14,Mysore Road / Nayandahalli,132,178,92,69.3,100.5,45.0,132.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-12,BLR_ST01,Silk Board Junction,174,235,122,82.0,118.9,53.3,148.3,Moderate,PM2.5,DEMO,SIMULATED
2026-06-12,BLR_ST02,BTM Layout CAAQMS,104,140,73,55.2,80.0,35.9,104.4,Moderate,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST03,Peenya Industrial Area,204,275,143,90.9,131.8,59.1,174.0,Poor,PM2.5,DEMO,SIMULATED
2026-06-12,BLR_ST04,Hebbal CAAQMS,108,146,76,57.4,83.2,37.3,110.6,Moderate,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST05,Whitefield Export Promotion Industrial Park,116,157,81,63.2,91.6,41.1,123.3,Moderate,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST06,Indiranagar 100ft Road,75,101,52,39.7,57.6,25.8,74.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST07,Jayanagar 4th Block,72,97,50,37.9,55.0,24.6,71.8,Satisfactory,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST08,City Railway Station / Majestic,153,207,107,75.7,109.8,49.2,141.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-12,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),81,109,57,42.4,61.5,27.6,80.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),135,182,94,70.2,101.8,45.6,132.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-12,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),62,84,43,33.1,48.0,21.5,61.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST12,Yelahanka New Town,73,99,51,38.7,56.1,25.2,72.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST13,Electronic City Phase 1,99,134,69,52.0,75.4,33.8,98.6,Satisfactory,PM10,DEMO,SIMULATED
2026-06-12,BLR_ST14,Mysore Road / Nayandahalli,115,155,80,63.2,91.6,41.1,120.8,Moderate,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST01,Silk Board Junction,145,196,102,73.2,106.1,47.6,132.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-13,BLR_ST02,BTM Layout CAAQMS,96,130,67,50.7,73.5,33.0,95.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST03,Peenya Industrial Area,203,274,142,90.6,131.4,58.9,173.6,Poor,PM2.5,DEMO,SIMULATED
2026-06-13,BLR_ST04,Hebbal CAAQMS,107,144,75,56.6,82.1,36.8,109.0,Moderate,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST05,Whitefield Export Promotion Industrial Park,110,148,77,58.0,84.1,37.7,113.2,Moderate,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST06,Indiranagar 100ft Road,76,103,53,39.8,57.7,25.9,75.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST07,Jayanagar 4th Block,76,103,53,39.6,57.4,25.7,75.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST08,City Railway Station / Majestic,126,170,88,67.7,98.2,44.0,126.4,Moderate,PM2.5,DEMO,SIMULATED
2026-06-13,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),84,113,59,43.9,63.7,28.5,83.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),115,155,80,64.2,93.1,41.7,121.2,Moderate,PM2.5,DEMO,SIMULATED
2026-06-13,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),55,74,38,29.1,42.2,18.9,54.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST12,Yelahanka New Town,76,103,53,40.2,58.3,26.1,75.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST13,Electronic City Phase 1,107,144,75,57.8,83.8,37.6,109.6,Moderate,PM10,DEMO,SIMULATED
2026-06-13,BLR_ST14,Mysore Road / Nayandahalli,126,170,88,67.7,98.2,44.0,129.5,Moderate,PM2.5,DEMO,SIMULATED
2026-06-14,BLR_ST01,Silk Board Junction,144,194,101,73.0,105.8,47.5,132.0,Moderate,PM2.5,DEMO,SIMULATED
2026-06-14,BLR_ST02,BTM Layout CAAQMS,96,130,67,50.8,73.7,33.0,96.0,Satisfactory,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST03,Peenya Industrial Area,166,224,116,79.8,115.7,51.9,152.8,Moderate,PM2.5,DEMO,SIMULATED
2026-06-14,BLR_ST04,Hebbal CAAQMS,106,143,74,55.8,80.9,36.3,107.6,Moderate,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST05,Whitefield Export Promotion Industrial Park,110,148,77,57.9,84.0,37.6,113.1,Moderate,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST06,Indiranagar 100ft Road,74,100,52,39.0,56.5,25.4,73.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST07,Jayanagar 4th Block,67,90,47,35.1,50.9,22.8,66.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST08,City Railway Station / Majestic,117,158,82,64.7,93.8,42.1,120.8,Moderate,PM2.5,DEMO,SIMULATED
2026-06-14,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),71,96,50,37.2,53.9,24.2,70.5,Satisfactory,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),140,189,98,71.9,104.3,46.7,135.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-14,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),60,81,42,31.6,45.8,20.5,58.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST12,Yelahanka New Town,72,97,50,38.3,55.5,24.9,71.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST13,Electronic City Phase 1,104,140,73,55.3,80.2,35.9,104.9,Moderate,PM10,DEMO,SIMULATED
2026-06-14,BLR_ST14,Mysore Road / Nayandahalli,115,155,80,63.6,92.2,41.3,121.6,Moderate,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST01,Silk Board Junction,136,184,95,70.6,102.4,45.9,127.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-15,BLR_ST02,BTM Layout CAAQMS,96,130,67,50.7,73.5,33.0,95.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST03,Peenya Industrial Area,145,196,102,73.3,106.3,47.6,140.3,Moderate,PM2.5,DEMO,SIMULATED
2026-06-15,BLR_ST04,Hebbal CAAQMS,106,143,74,56.1,81.3,36.5,108.1,Moderate,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST05,Whitefield Export Promotion Industrial Park,114,154,80,61.1,88.6,39.7,119.2,Moderate,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST06,Indiranagar 100ft Road,78,105,55,41.2,59.7,26.8,77.7,Satisfactory,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST07,Jayanagar 4th Block,62,84,43,32.3,46.8,21.0,61.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST08,City Railway Station / Majestic,151,204,106,75.1,108.9,48.8,140.2,Moderate,PM2.5,DEMO,SIMULATED
2026-06-15,BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),74,100,52,38.7,56.1,25.2,73.2,Satisfactory,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),108,146,76,58.4,84.7,38.0,110.2,Moderate,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),68,92,48,36.3,52.6,23.6,67.4,Satisfactory,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST12,Yelahanka New Town,66,89,46,34.7,50.3,22.6,65.1,Satisfactory,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST13,Electronic City Phase 1,106,143,74,56.6,82.1,36.8,107.4,Moderate,PM10,DEMO,SIMULATED
2026-06-15,BLR_ST14,Mysore Road / Nayandahalli,108,146,76,57.9,84.0,37.6,110.7,Moderate,PM10,DEMO,SIMULATED
2026-06-16,BLR_ST01,Silk Board Junction,152,205,106,75.6,109.6,49.1,136.7,Moderate,PM2.5,DEMO,SIMULATED
2026-06-16,BLR_ST02,BTM Layout CAAQMS,84,113,59,44.4,64.4,28.9,83.9,Satisfactory,PM10,DEMO,SIMULATED
2026-06-16,BLR_ST03,Peenya Industrial Area,202,273,141,90.3,130.9,58.7,172.8,Poor,PM2.5,DEMO,SIMULATED
2026-06-16,BLR_ST04,Hebbal CAAQMS,109,147,76,58.3,84.5,37.9,112.5,Moderate,PM10,DEMO,SIMULATED
